,x,y,t,vitesse_v,angle_v,cap,twa,polaire
0,-73.92750000000001,-40.439166666666665,1593413976.025966,6.066462536127886,327.5597810299903,61.94575252202702,94.38597149203673,13.941755594561073
1,-73.67539127357675,-40.57352158729467,1593417576.025966,6.157632157538878,333.8398909277305,64.60942942523928,90.76953849750879,14.125214180650598
2,-73.41280737384912,-40.69815263595298,1593421176.025966,6.40562812060585,336.8958529757268,64.65083674700873,87.7549837712819,14.374746754901535
3,-73.14738071699692,-40.82389799683265,1593424776.025966,7.165007356901145,348.32511822506797,74.60114200444667,86.2760237793787,15.068718336274085
4,-72.83875859520313,-40.908900074060796,1593428376.025966,7.781425914707819,354.04726871580186,77.77259732151435,83.72532860571249,15.545728102558247
5,-72.51324826174876,-40.979440874387585,1593431976.025966,8.290850414416061,350.0860865703861,73.03737386897348,82.95128729858737,15.770717573467433
6,-72.20028956667751,-41.07489877052581,1593435576.025966,7.445559736019363,338.76886853371485,62.172560839129574,83.40369230541472,15.232023943154765
7,-71.93541301517433,-41.214714486997714,1593439176.025966,6.810207801819562,336.7236752520069,59.55644680973967,82.83277155773277,14.647655424864599
8,-71.68799606871686,-41.36012607048288,1593442776.025966,6.609025191793715,341.80606523241886,55.948493194850016,74.14242796243116,13.987739176833928
9,-71.46433709002179,-41.51127867043445,1593446376.025966,7.362547049651998,352.5517187551277,48.25379266604017,55.702073910912475,12.954486854485813
10,-71.2871311464874,-41.669419948901755,1593449976.025966,7.859865590568223,0.16683873164197394,60.62485297854812,60.458014246906146,13.604026807936533
11,-71.05694611418362,-41.79899103321308,1593453576.025966,8.372717688235305,3.7005790181722773,61.55876013080393,57.858181112631655,13.56781102256862
12,-70.82195201571919,-41.92627054486786,1593457176.025966,7.654278980058977,6.1284338522356165,69.23880227246644,63.11036842023083,13.75350486841151
13,-70.55904933730207,-42.02593422012383,1593460776.025966,6.3766266735886425,3.613091938918501,65.94667051693824,62.33357857801974,13.237475538391491
14,-70.31672641821376,-42.134093705149056,1593464376.025966,5.678557418090633,10.91490814772186,78.7614351623127,67.84652701459083,12.87533330937589
15,-70.04115489406979,-42.188851116669575,1593467976.025966,4.135268509743826,21.10294495288531,76.4639417209608,55.360996768075495,9.65173061734552
16,-69.84676368260081,-42.235649725647775,1593471576.025966,3.288244530804825,60.69329638812934,109.85518981111858,49.16189342298924,7.098273803953034
17,-69.69058451264269,-42.17925176772281,1593475176.025966,2.7862159894101697,105.26614288586705,59.03250793662369,46.23363494924337,5.752621012936498
