,x,y,t,vitesse_v,angle_v,cap,twa,polaire
0,-73.91666666666667,-40.43333333333333,1592411758.1702485,10.764481030562978,78.52516890608445,45.747503275036706,32.77766563104774,9.696246765751201
1,-73.74076447512604,-40.604704601657424,1592415358.1702485,9.664070689823648,85.96050017205187,53.752316391802026,32.20818378024984,9.033474256900544
2,-73.54572069883066,-40.74770449095655,1592418958.1702485,8.590723515184061,92.61261663983726,57.55610643791414,35.05651020192312,10.012877734358142
3,-73.33427620933885,-40.88211857789929,1592422558.1702485,7.552947863964898,100.86440574599177,62.97990048740172,37.88450525859008,10.769123930824708
4,-73.10720959628438,-40.99791514937374,1592426158.1702485,6.903556954528529,112.22654916285555,71.42615937565478,40.80038978720074,11.172808445089993
5,-72.86550932012307,-41.07913344727271,1592429758.1702485,6.5540408705258475,127.9758416424867,73.06156699676268,54.91427464572405,12.608171850416648
6,-72.59619698946717,-41.1611541552224,1592433358.1702485,6.260983998728679,145.19601395620913,75.46706524385291,69.72894871235621,13.561255369942728
7,-72.30695097176982,-41.23613567264303,1592436958.1702485,5.976432622094018,160.57887493545252,81.68375136450311,78.89512357094941,13.795296612461343
8,-72.00529955147213,-41.280229225958614,1592440558.1702485,5.2918505207983895,171.84653559375658,80.15741249512831,91.68912309862827,12.784992847155516
9,-71.73143566698309,-41.32774339395426,1592444158.1702485,4.802431745985063,178.8966850676416,79.3952078107219,99.50147725691971,11.637173362114163
10,-71.48484176764075,-41.373913535519485,1592447758.1702485,4.592075935311361,189.72389221239033,83.97963901587593,105.74425319651439,10.950299014175638
11,-71.24560223933655,-41.399144583227844,1592451358.1702485,4.428509497275389,199.1085937937964,87.74873767257867,111.35985612121772,10.48705172178755
12,-71.01303458456599,-41.40828732306156,1592454958.1702485,4.231354659620083,209.56077756662367,90.75004872601545,118.81072884060822,9.905183970601755
13,-70.79266542479685,-41.40540234529627,1592458558.1702485,4.411615438474863,225.21079888064588,101.36363424544737,123.84716463519851,9.793231762989555
14,-70.57475205372077,-41.36160721716377,1592462158.1702485,4.5901552314525444,237.5186503207239,27.08706027929827,149.56840995857436,6.638771455073323
15,-70.51407066901594,-41.48025510777917,1592465758.1702485,4.498038851843932,247.19384532044694,36.497135368307966,149.30329004786103,6.554921013058736
16,-70.43057385023033,-41.593106381863414,1592469358.1702485,4.560969429190979,257.1277821123428,33.110594232772826,135.98281212043003,8.596537722367835
17,-70.33678061371238,-41.73692677980248,1592472958.1702485,4.546597605635196,258.71054678134186,24.77028697848266,126.0597401971408,9.837085328786335
18,-70.26120559151344,-41.90070912401952,1592476558.1702485,4.522677715776337,252.5793743901088,23.583293917745777,131.00391952763698,9.2707744930807
19,-70.19303756537461,-42.056863663381186,1592480158.1702485,4.659794160345487,244.28257398313912,37.86851767511337,153.58594369197425,6.197391841555851
20,-70.11030876505285,-42.16325403678757,1592483758.1702485,4.991573204774753,229.352084575621,30.991458522334767,161.63937394671376,5.698402446870647
21,-70.0512756146902,-42.26153488222646,1592487358.1702485,5.917427393851445,213.6669867199875,79.54519015607093,134.12179656391658,11.245569081248174
22,-69.81754925641404,-42.30466285380063,1592490958.1702485,7.406467501433818,204.6349642397039,84.81128427621553,119.82367996348836,14.839980306343477
23,-69.48851151996952,-42.3345422948151,1592494558.1702485,9.484852865554597,206.18981315695777,82.57363044602931,123.61618271092846,16.61608022413454
24,-69.12350547826907,-42.38211913528177,1592498158.1702485,11.153225075478002,212.77425343058547,71.79524801898145,140.97900541160402,16.03471191827527
25,-68.81718193794994,-42.48286134373613,1592501758.1702485,12.148297659144477,217.45128911805358,79.58115988094397,137.8701292371096,17.529793345900618
26,-68.44717419968633,-42.55089624411643,1592505358.1702485,12.63444241543135,221.60824370888395,80.3477634021105,141.26048030677345,17.451499716859022
